movement_id,sku_id,warehouse_id,warehouse_city,region,movement_type,supplier_id,customer_id,movement_date,expected_date,quantity,unit_cost,stock_before,stock_after,status
MOV002310,SKU_0255,WH_02,Mumbai,West,Outbound,,CUST_041,2026-03-11,2026-03-14,238,832.76,2187,1949,Completed
MOV001922,SKU_0087,WH_03,Delhi,North,Transfer,,,2026-06-26,2026-06-27,282,308.91,4475,4193,Completed
MOV002629,SKU_0148,WH_03,Delhi,North,Outbound,,CUST_052,2026-01-30,2026-02-02,242,1348.91,3724,3482,Completed
MOV001265,SKU_0160,WH_04,Kolkata,East,Return,,,2026-01-16,2026-01-19,208,1087.91,3136,,Discrepancy
MOV000562,SKU_0229,WH_02,Mumbai,West,Inbound,SUP_08,,2026-02-16,2026-02-17,418,1537.08,2847,3265,Completed
MOV001157,SKU_0218,WH_01,Bengaluru,South,Return,,,2026-05-01,2026-05-01,205,508.09,1151,1356,Completed
MOV002626,SKU_0036,WH_02,Mumbai,West,Inbound,SUP_11,,2026-03-28,2026-03-28,483,867.17,2167,2650,Completed
MOV004800,SKU_0013,WH_06,Pune,West,Outbound,,CUST_068,2026-06-01,2026-06-03,20,1868.68,2314,2294,Completed
MOV004471,SKU_0055,WH_03,Delhi,North,Transfer,,,,2026-04-12,337,1719.53,412,75,Completed
MOV000736,SKU_0254,WH_02,Mumbai,West,Return,,,2026-06-28,2026-06-30,353,200.82,4695,5048,Completed
MOV003817,SKU_0267,WH_06,Pune,West,Return,,,2026-01-28,2026-01-29,174,678.12,1420,1594,Completed
MOV003646,SKU_0008,WH_05,Hyderabad,South,Outbound,,CUST_012,2026-02-08,2026-02-10,483,886.01,3555,3072,Discrepancy
MOV002989,SKU_0109,WH_01,Bengaluru,South,Outbound,,CUST_052,2026-04-22,2026-04-23,31,1889.51,2967,2936,Completed
MOV002876,SKU_0299,WH_01,Bengaluru,South,Inbound,SUP_04,,2026-05-28,2026-05-30,230,813.93,752,982,Completed
MOV000949,SKU_0097,WH_04,Kolkata,East,Transfer,,,2026-02-24,2026-02-27,448,512.5,3421,,Completed
MOV000961,SKU_0045,WH_01,Bengaluru,South,Outbound,,CUST_057,2026-06-19,2026-06-19,326,903.2,3530,3204,Completed
MOV004705,SKU_0139,WH_05,Hyderabad,South,Inbound,SUP_11,,2026-03-23,2026-03-24,12,1650.93,656,668,Completed
MOV001338,SKU_0079,WH_04,Kolkata,East,Inbound,SUP_01,,2026-02-10,2026-02-13,17,625.86,3787,,Cancelled
MOV002733,SKU_0164,WH_06,Pune,West,Inbound,SUP_03,,2026-05-22,2026-05-23,216,413.88,2729,2945,Completed
MOV000451,SKU_0298,WH_06,Pune,West,Transfer,,,,2026-03-10,500,881.77,2297,1797,Completed
MOV004777,SKU_0286,WH_02,Mumbai,West,Transfer,,,2026-03-20,2026-03-22,189,965.97,3524,3335,Completed
MOV000821,SKU_0069,WH_01,Bengaluru,South,Outbound,,CUST_043,2026-01-17,2026-01-19,474,353.94,806,332,Completed
MOV003258,SKU_0253,WH_01,Bengaluru,South,Outbound,,CUST_055,2026-03-15,2026-03-17,84,942.43,2728,2644,Completed
MOV001217,SKU_0113,WH_01,Bengaluru,South,Adjustment,,,2026-02-28,2026-03-02,75,194.03,407,482,Discrepancy
MOV000072,SKU_0034,WH_01,Bengaluru,South,Return,,,2026-01-28,2026-01-31,367,1915.72,3166,3533,Pending
MOV002555,SKU_0213,WH_02,Mumbai,West,Transfer,,,2026-04-14,2026-04-16,456,1277.97,1712,1256,Completed
MOV002151,SKU_0269,WH_06,Pune,West,Inbound,SUP_10,,2026-05-21,2026-05-24,149,353.54,3128,3277,Completed
MOV003379,SKU_0156,WH_06,Pune,West,Outbound,,CUST_056,2026-02-05,2026-02-07,363,395.38,4994,4631,Pending
MOV000329,SKU_0145,WH_01,Bengaluru,South,Transfer,,,2026-06-16,2026-06-19,450,610.6,3148,2698,Completed
MOV000174,SKU_0123,WH_06,Pune,West,Outbound,,CUST_045,2026-01-25,2026-01-26,24,582.38,3808,3784,Completed
MOV002742,SKU_0039,WH_03,Delhi,North,Outbound,,CUST_048,2026-02-28,2026-03-03,269,1354.74,2759,2490,Completed
MOV000342,SKU_0195,WH_01,Bengaluru,South,Inbound,SUP_02,,2026-04-29,2026-04-29,105,1783.59,4376,4481,Discrepancy
MOV003930,SKU_0050,WH_01,Bengaluru,South,Inbound,SUP_07,,2026-05-08,2026-05-10,108,1307.34,2892,3000,Completed
MOV003484,SKU_0082,WH_03,Delhi,North,Transfer,,,2026-06-08,2026-06-08,74,876.0,3756,3682,Discrepancy
MOV003992,SKU_0196,WH_06,Pune,West,Inbound,SUP_10,,2026-06-08,2026-06-11,73,641.47,1826,,Cancelled
MOV003951,SKU_0094,WH_05,Hyderabad,South,Inbound,SUP_11,,2026-03-09,2026-03-09,22,404.37,1481,1503,Discrepancy
MOV001163,SKU_0250,WH_04,Kolkata,East,Transfer,,,2026-06-21,2026-06-22,153,847.86,2639,,Completed
MOV003405,SKU_0145,WH_04,Kolkata,East,Outbound,,CUST_049,2026-01-24,2026-01-24,354,679.73,2980,,Completed
MOV001537,SKU_0096,WH_05,Hyderabad,South,Inbound,SUP_08,,2026-01-01,2026-01-04,298,1121.59,22,320,Completed
MOV000502,SKU_0292,WH_01,Bengaluru,South,Outbound,,CUST_028,2026-03-20,2026-03-21,482,1167.03,2840,2358,Completed
MOV003478,SKU_0049,WH_05,Hyderabad,South,Inbound,SUP_05,,2026-03-22,2026-03-22,490,1619.63,3477,3967,Completed
MOV001030,SKU_0189,WH_06,Pune,West,Inbound,SUP_02,,2026-02-20,2026-02-21,307,1788.71,3867,4174,Completed
MOV000777,SKU_0270,WH_03,Delhi,North,Outbound,,CUST_068,2026-02-07,2026-02-09,102,1904.78,3976,3874,Completed
MOV001920,SKU_0232,WH_01,Bengaluru,South,Return,,,2026-05-18,2026-05-19,170,1755.57,4425,4595,Discrepancy
MOV001089,SKU_0062,WH_01,Bengaluru,South,Outbound,,CUST_044,2026-02-27,2026-02-28,117,1802.46,3985,3868,Completed
MOV003174,SKU_0204,WH_01,Bengaluru,South,Outbound,,CUST_096,2026-04-28,2026-05-01,442,820.22,1532,1090,Completed
MOV003580,SKU_0033,WH_01,Bengaluru,South,Adjustment,,,2026-02-18,2026-02-18,360,1923.86,1197,837,Completed
MOV002700,SKU_0160,WH_06,Pune,West,Outbound,,CUST_053,2026-04-21,2026-04-24,434,1940.65,4337,3903,Completed
MOV003627,SKU_0050,WH_02,Mumbai,West,Outbound,,CUST_002,2026-03-24,2026-03-27,414,1457.24,4905,4491,Completed
MOV003369,SKU_0218,WH_03,Delhi,North,Inbound,SUP_12,,2026-05-10,2026-05-13,6,1843.26,3907,3913,Completed
MOV000312,SKU_0172,WH_01,Bengaluru,South,Adjustment,,,2026-02-17,2026-02-20,209,1338.95,1980,1771,Completed
MOV002273,SKU_0249,WH_05,Hyderabad,South,Inbound,SUP_04,,2026-02-12,2026-02-14,215,455.7,69,,Cancelled
MOV002453,SKU_0023,WH_01,Bengaluru,South,Outbound,,CUST_059,,2026-05-26,255,115.01,2485,2230,Completed
MOV001396,SKU_0180,WH_01,Bengaluru,South,Adjustment,,,2026-04-17,2026-04-18,418,676.76,916,,Cancelled
MOV003700,SKU_0259,WH_02,Mumbai,West,Outbound,,CUST_025,2026-04-08,2026-04-11,79,441.06,748,669,Pending
MOV000391,SKU_0217,WH_04,Kolkata,East,Inbound,SUP_01,,2026-02-28,2026-03-02,409,190.7,3870,,Completed
MOV002536,SKU_0023,WH_04,Kolkata,East,Outbound,,CUST_097,2026-04-05,2026-04-08,315,1841.88,1040,,Completed
MOV001000,SKU_0171,WH_01,Bengaluru,South,Outbound,,CUST_081,2026-02-15,2026-02-17,11,1459.89,2321,2310,Pending
MOV000112,SKU_0252,WH_01,Bengaluru,South,Outbound,,CUST_024,2026-05-07,2026-05-09,491,1672.08,2134,1643,Completed
MOV002249,SKU_0116,WH_01,Bengaluru,South,Transfer,,,2026-05-19,2026-05-19,274,595.03,3242,2968,Completed
MOV000912,SKU_0185,WH_03,Delhi,North,Adjustment,,,2026-05-06,2026-05-08,241,636.15,1577,1818,Completed
MOV004674,SKU_0152,WH_05,Hyderabad,South,Inbound,SUP_11,,2026-04-14,2026-04-14,10,1391.67,3349,3359,Completed
MOV000069,SKU_0159,WH_04,Kolkata,East,Inbound,SUP_12,,2026-05-02,2026-05-03,191,1105.98,3656,,Completed
MOV004623,SKU_0241,WH_03,Delhi,North,Outbound,,CUST_058,2026-01-14,2026-01-16,106,1290.94,2856,2750,Completed
MOV002353,SKU_0208,WH_05,Hyderabad,South,Outbound,,CUST_079,2026-03-07,2026-03-07,332,396.69,3919,3587,Completed
MOV004431,SKU_0231,WH_01,Bengaluru,South,Adjustment,,,2026-04-30,2026-05-02,258,1791.94,568,310,Discrepancy
MOV001775,SKU_0123,WH_06,Pune,West,Inbound,SUP_05,,2026-06-22,2026-06-24,439,91.57,2960,3399,Completed
